,0
7730,anguyHalf the country's starving and look at this one.
7731,thorosMaybe he's the reason half the country's starving.
7732,shaeMy lion.
7733,tyrionWe've spoken of this. You cannot come here.
7734,shaeBut you said I should come to you with any problems.
7735,tyrionDid anyone see you? No.
7736,shaeNo.
7737,tyrionYou sure? My father does not make idle threats. Having you killed would be the high point of his week. You have to be absolutely certain.
7738,tyrionAll right. What is this problem?
7739,"shaeI'm worried about Sansa. When she spoke with Lord Baelish, his friend warned me about him."
7740,tyrionBaelish doesn't have friends.
7741,shaeI don't know her name.
7742,"tyrionOh, Ros? The redhead?"
7743,shaeHow do you know her?
7744,tyrionI try to know as many people as I can. You never know which one you'll need.
7745,shaeShe's a whore.
7746,"tyrionYes, well, we shouldn't be judgmental about these things."
7747,shaeYou fucked her.
7748,"tyrionOh, please. All right, yes, I fucked her once. Twice."
7749,"tyrionBut since I met you, my lady, I've been with no one else."
7750,shaeAnd was she good? Did you like her?
7751,"tyrionNot as much as I like you, obviously, or she'd be the one torturing me right now. What did she say about Littlefinger?"
7752,shaeThat Sansa shouldn't trust him.
7753,tyrionIs there an idiot in any village who trusts Littlefinger?
7754,shaeWe have to protect her.
7755,"tyrionWe can't. Now that the Lannisters have discarded her, Sansa will have many suitors. A great beauty with a very old name."
7756,"shaeA great beauty? Oh, a great beauty?"
7757,"tyrionYes, she is, objectively, very. Her face is quite pleasing-to other men and to women, people in general. But not to me, of course. I only have eyes for you."
7758,shaeYou pervert. You want her? This child?
7759,tyrionI don't even want to talk about her.
7760,shaeBut you are.
7761,tyrionOnly because you're making me.
7762,shaeI didn't force you to open your mouth and make words come out.
7763,tyrionThis is cruel and unfair. Cruelly unfair.
7764,"shaeOh, the cruelty. Shae is so cruel to me."
7765,"tyrionHmm, yes."
7766,shaeNow do you think I'm cruel?
7767,tyrionOnly if you stop. But you mustn't come here again.
7768,tyrionDo you hear me? You've come to a dangerous place full of dangerous people. Dangerous people.
7769,"guardLady Tyrell, my king."
7770,joffreySend her in.
7771,"margaeryYou wanted to see me, Your Grace?"
7772,joffreyI'm leaving on a hunting trip. I just wanted to make sure you had everything you need before I left.
7773,"margaeryThat's very thoughtful, Your Grace. I have everything I could want."
7774,joffreyGood. Good. How are you finding life in the capital? It must be quite a change after Renly's camp.
7775,margaeryA welcome one. A military encampment is no place for a lady.
7776,joffreyAnd the bedside of a traitor? Is that a place for a lady?
7777,"margaeryYour Grace, I tried to do my duty as a wife, that is all."
7778,joffreyWhat was your duty to this traitor as you saw it?
7779,margaeryThe duty of any wife to any husband-to provide him with children.
7780,joffreyYou failed to do this.
7781,"margaeryWhy? I-I would not speak ill of the dead, Your Grace."
7782,joffreyYou think one ought to speak kindly of a traitor merely because he's had a sword put through his heart?
7783,margaeryNo. I do beg your pardon. The subtleties of politics are often lost on me. Renly I don't believe he was interested in the company of women.
7784,joffreyWhat makes you say this?
7785,"margaeryWhenever I wanted to make a child with him, he-he had so many excuses, so many late-night war councils. He never wanted to try. Except one evening, after he'd had far too much wine to drink, he suggested something-something that sounded very painful and couldn't possibly result in children. Maybe the fault was with me."
7786,"joffreyNo, he was a known degenerate."
7787,"margaeryIt's such a relief to hear you say so, Your Grace."
7788,joffreyMmm. I've considered making his perversion punishable by death.
7789,margaeryAs is your right. You must do whatever you need to do.
7790,margaeryYou are the king.
7791,joffreyYes. I am.
7792,joffreyDo you like it? I just had it made. Probably one of the finest weapons in the Seven Kingdoms.
7793,margaeryIt's beautiful. Will you show me how it works?
7794,joffreyIt's a new design. Much easier to load. There's no crank. You use this lever to draw the string.
7795,joffreyThe bolt goes here.
7796,joffreyAnd then you just aim and-
7797,"margaeryWould you take me hunting sometime? Forgive me, Your Grace. I know a hunt is no place for a woman."
7798,joffreyIt's not unheard of.
7799,margaeryMy father would never let me before-
7800,joffreyYou no longer belong to him. Do you want to hold it?
7801,margaeryMay I? Please.
7802,margaeryI imagine it must be so exciting to squeeze your finger here and watch something die over there.
7803,joffreyCould you do it? Could you kill something?.
7804,"margaeryI don't know, Your Grace Do you think I could?"
7805,joffreyYes.
7806,margaeryWould you like to watch me?
7807,theonStop! Stop!
7808,torturerTell us the truth.
7809,theonAbout what?
7810,theonI don't know what you want.
7811,torturerI want the truth.
7812,theonWhat truth?
7813,torturerWhy'd you take Winterfell?
7814,theonI took it to-I took it-
7815,torturerWho gave the orders?
7816,theonNo one. I took it on my own.
7817,torturerWhy?
7818,theonTo take the North while it was vulnerable.
7819,torturerWhat were you going to do once you took it?
7820,theonHold it. Rule it.
7821,torturerGood. That's very good.
7822,theonWhy did you do that?
7823,torturerI told you. Why did you take Winterfell?
7824,theonI took it to bring glory to my house and my father.
7825,"theonWait. Wait, wait, wait. I took it because I hated the Starks. I hated them for holding me prisoner. I wanted to hurt them."
7826,theonWhat are you doing?
7827,theonPlease.
7828,"theonI'll tell you anything. Just take it off. Please. Please, just take it off."
7829,ramsayYour sister sent me.
7830,theonYara?
7831,ramsayI'll come for you tonight when the castle sleeps.
7832,"theonNo, don't go. Please, please. No, please don't leave me. Please, please. Please, please don't go! Please. Please. Don't leave me. Please don't go."
7833,"oshaRickon, stay with us."
7834,branIt's all right. The wolves will protect him.
7835,"jojenYou can get inside his head, see through his eyes."
7836,branOnly when I'm asleep.
7837,jojenThat's how it begins until you learn to control it. You're a warg.
7838,branIt's not just wolves. Sometimes in my dreams there's a-
7839,jojenA three-eyed raven?
7840,branYou've seen it?
7841,jojenWe saw him together. You haven't forgotten?
7842,branDoes it have anything to do with warging?
7843,"jojenNo, the raven is something different, something deeper. The raven brings the sight."
7844,branSeeing things that haven't happened yet?
7845,jojenOr things that happened long before you were born or things that are happening right now thousands of miles away.
7846,oshaWhat's he telling him?
7847,meeraWhy don't you ask?
7848,"oshaIsn't he ashamed, your brother, needing you to protect him?"
7849,meeraWhere's the shame in that?
7850,oshaAny boy his age who needs his sister to protect him is gonna find himself needing lots of protecting.
7851,meeraSome people will always need help. That doesn't mean they're not worth helping.
7852,"branWhen my father died, I dreamt it."
7853,jojenYou didn't dream it. You saw it. So did I.
7854,"branYou have the sight, too?"
7855,"jojenWhen I told my father about your father for the first time in my life, I saw him cry."
7856,branYour father is Howland Reed? Yeah.
7857,jojenYeah.
7858,branHe saved my father's life during the rebellion.
7859,"jojenYour father told you about the rebellion? Mine never did. But I saw that, too."
7860,branWhat else have you seen?
7861,jojenOnly one thing that matters-you.
7862,"manI never liked the skinny ones. Like drinking from a puddle. Not that I'm averse to drinking from a puddle every now and again, you understand."
7863,aryaI don't drink ale.
7864,thorosThere's no story so good a drink won't make it better.
7865,manYeah!
7866,"thorosYou see? They've all suffered through my bouts of sobriety. It's very tedious for all concerned. Now, how did three children-"
7867,aryaWe're not children.
7868,"thorosHow did three young persons such as yourselves, untrained in the art of war, escape from Harrenhal?"
7869,aryaGendry's a smith. He was apprenticed in the armory.
7870,"thorosA smith, eh? Where'd you train?"
7871,gendryKing's Landing. Tobho Mott's shop.
7872,thorosThat criminal. He charges twice as much as every other armorer in the city.
7873,gendryThat's because he's twice as good.
7874,thorosAha! A smith and a salesman.
7875,aryaGendry stole us weapons.
7876,"thorosAh, fought your way out of Harrenhal, I see."
7877,aryaHe knows how to use a sword and so do I.
7878,aryaMy brothers taught me.
7879,menOoh!
7880,thorosTo your brothers!
7881,thorosYou can finish your meals before you go. It may be awhile before you see another.
7882,aryaYou'll free us?
7883,thorosI gave you my word.
7884,"thorosBut before you go, allow me to raise a cup to your-"
7885,"anguyHey, hey."
7886,thorosNow that is an uncommonly large person. How does one manage to subdue such an uncommonly large person?
7887,anguyOne waits for him to drink until he passes out.
7888,thorosPoor man. You have my sympathy.
7889,"thorosAha, not a man at all. A Hound!"
7890,"thorosSo good to see you again, Clegane."
7891,sandorThoros? The fuck you doing here?
7892,thorosDrinking and talking too much. Same as ever.
7893,"thorosA pretty prize, lads."
7894,menYeah!
7895,sandorGirl.
7896,sandorWhat in seven hells are you doing with the Stark bitch?
7897,jaimeIt's a tough decision - take the bridge and risk being seen or cross the great water.
7898,"brienneSilence, Kingslayer."
7899,"jaimeAnyone can see us on the bridge, but cross by water and the current could take us or I could escape down the river."
7900,brienneGood luck.
7901,jaimeIt's wonderful to watch you wrestle with these dilemmas. Which will she choose?
7902,jaimeGambler at heart. Wouldn't have guessed.
7903,brienneBe quick about it.
7904,jaimeI need to rest.
7905,brienneGet up.
7906,"jaimeI have these, you know, on your feet when you walk too far. What do you call them?"
7907,brienneGet up now.
7908,"jaimeCorns. I never used to get corns. Of course I used to ride everywhere, not march around like a common foot soldier wearing the same shit boots for over a year."
7909,jaimeThis heel is ruined. There's no way-
7910,jaimeI never understood why some knights felt the need to carry two swords.
7911,jaimeOoh. You move well for a great beast of a woman.
7912,jaimeYou shouldn't grimace before you lunge. It gives away the game.
7913,"jaimeBit of a quandary for you. If you kill me, you fail Lady Stark. But if you don't kill me, I'm going to kill you."
7914,"jaimeYou're good. Graceless, but good."
7915,"jaimeSee? If you were willing to hurt me, you might have had me there."
7916,"lockeLooks like your woman's getting the better of you, if you can call that a woman."
7917,jaimeWe enjoy a good fight. Gets our juices flowing. The Flayed Man of House Bolton. A bit gruesome for my taste.
7918,lockeYou sure he's the one?
7919,"manThat's him, all right. I saw him fight at the tourney for Ser Willem Frey's wedding."
7920,lockeGive the man his silver.
7921,jaimeLet us go and my father will pay you whatever you want.
7922,"lockeEnough to buy me a new head? If the King in the North hears I had the Kingslayer and let him go, he'll be taking it right off. I'd rather he takes yours."
7923,"edmureIf I may, nephew, I encountered a situation with one of my lieutenants at the Stone Mill which may have some bearing-"
7924,"bryndenWhy don't you shut your mouth about that damned mill? And don't call him ""nephew."" He is your king."
7925,edmureRobb knows I meant him no disr-
7926,bryndenYou're lucky I'm not your king. I wouldn't let you wave your blunders around like a victory flag.
7927,"edmureMy blunder sent Tywin's mad scurrying back to Casterly Rock with his tail between his legs. I think King Robb understands we're not gonna win this war if he's the only one winning any battles. No, there's glory enough to go around."
7928,robbIt's not about glory. Your instructions were to wait for him to come to you.
7929,edmureI seized an opportunity.
7930,robbWhat value was the mill?
7931,edmureThe Mountain was garrisoned across the river from it.
7932,robbIs he there now? Of course not.
7933,edmureWe took the fight to him. He could not withstand us.
7934,"robbI wanted to draw the Mountain into the west, into our country where we could surround him and kill him. I wanted him to chase us, which he would have done because he is a mad without a strategic thought in his head. I could have that head on a spike by now. Instead, I have a mill."
7935,edmureWe took hostages. Willem Lannister. Martyn Lannister.
7936,robbWillem and Martyn Lannister are fourteen years old.
7937,"bryndenMartyn is fifteen, I believe."
7938,robbTywin Lannister has my sisters. Have I sued for peace?
7939,edmureNo.
7940,robbDo you think he'll sue for peace because we have his father's brother's great-grandsons?
7941,robbHow many men did you lose?
7942,"edmureBut for every man we lost, the Lannisters-"
7943,robbWe need our men more than Tywin needs his!
7944,edmureI'm sorry. I didn't know.
7945,robbYou would have. Right here today at this gathering if you had been patient.
7946,bryndenWe seem to be running short of patience here.
7947,robbYou know who isn't? Tywin Lannister.
7948,tyrionIntimate. Lovely table. Better chairs than the old small council chamber. Conveniently close to your own quarters. I like it.
7949,tywinWhat news of Jaime?
7950,"tywinTwenty thousand unwashed Northerns have known about his escape for weeks. Collectively, you control more spies and informants than the rest of the world combined. Do you mean to tell me that none of you has any notion of where he is?"
7951,"varysWe are trying, my lord."
7952,"tywinTry harder. What do we have, then?"
7953,"varysRobb Stark and most of his bannermen are in Riverrun for the funeral of his grandfather Lord Hoster Tully. In Stark's absence, Roose Bolton holds Harrenhal, which would seem to make him Lord of Harrenhal, in practice if not in name."
7954,"tywinWell, let him have it. The name suits our purposes far more than that useless pile of rubble. The Lord of Harrenhal will make a worthy suitor for the widow Arryn."
7955,"petyrFor which I am extremely grateful to you, my lord. Lady Arryn and I have known each other since we were children. She has always been positively predisposed toward me."
7956,pycelleA successful courtship would make Lord Baelish acting Lord of the Vale.
7957,petyrTitles do seem to breed titles.
7958,tywinYou'll leave for the Eyrie as soon as possible and bring Lysa Arryn into the fold. Then the young wolf can add his own aunt to the list of people who have taken up arms against him.
7959,"tyrionFar be it from me to hinder true love, but Lord Baelish's absence would present certain problems. The royal wedding may end up being the most expensive event in living memory. Summer has ended, hard days lie ahead. Not a good time to leave the crown's finances unattended."
7960,tywinFully agreed. Which is why I'm naming you new Master of Coin.
7961,tyrionMaster of Coin?
7962,tywinIt would appear to be a position that best suits your talents.
7963,"tyrionI'm quite good at spending money, but a lifetime of outrageous wealth hasn't taught me much about managing it."
7964,cerseiI have no doubt you will prove equal to this challenge.
7965,"pycelleHear, hear."
7966,"menHe lifted her high in the air. He sniffed and roared and smelled her there. She kicked and wailed, a maid so fair. But he licked the honey from her hair. From there to here, from here to there. All black and brown and covered with hair. He smelled that girl in the summer air. The bear, the bear and the maiden fair."
7967,"jaimeI hope you're pleased. If you had armed me, they never would have taken us."
7968,brienneYou were armed when we were taken.
7969,jaimeI was in chains if you recall. Our little match would have ended quite quick if my hands weren't bound.
7970,"brienneAll my life I've been hearing, 'Jaime Lannister, what a brilliant swordsman.' You were slower than I expected. And more predictable."
7971,jaimeI've been sitting in a muddy pen wrapped in chains for the past year.
7972,brienneAnd I'm a woman. I was still beating you.
7973,jaimeYou were not beating me.
7974,brienneMaybe you were as good as people said once. Or maybe people just love to overpraise a famous name.
7975,"jaimeWhen we make camp tonight, you'll be raped. More than once. None of these fellows have ever been with a noblewoman. You'd be wise not to resist."
7976,brienneWould I?
7977,jaimeThey'll knock your teeth out.
7978,brienneYou think I care about my teeth?
7979,"jaimeNo, I don't think you care about your teeth. If you fight them, they will kill you. Do you understand? I'm the prisoner of value, not you. Let them have what they want. What does it matter?"
7980,brienneWhat does it matter?
7981,jaimeClose your eyes. Pretend they're Renly.
7982,"brienneIf you were a woman, you wouldn't resist? You'd let them do what they wanted?"
7983,"jaimeIf I was a woman, I'd make them kill me. But I'm not, thank the gods."
7984,"gendryIf I had a proper forge, I could make it good as new."
7985,thorosDoesn't have to look pretty. It just has to keep the arrows out of my heart.
7986,aryaWhy are you helping him? He takes us prisoner and now he's our friend?
7987,"thorosYou're not our prisoner, little lady."
7988,aryaWhat am I?
7989,thorosOur guest. No one's put any chains on you.
7990,"aryaSo I can walk away, then?"
7991,thorosThese woods aren't safe for Ned Stark's daughter. You're lucky we found you.
7992,"sandorYou think you're good with that bow, you little twat?"
7993,anguyBetter than anyone you've ever met.
7994,sandorA cowardo s weapon. I like to fight up close. I like to see a man's face when I put the steel in him.
7995,anguyWhy? So you can kiss him?
7996,aryaYou remember the last time you were here?
7997,sandorLooks like every other shit inn on the road.
7998,"anguyNow, apologies, but you're one ugly fucker and I'd rather not see you no more."
7999,anguyWatch your head. Off we go.
8000,driverWalk up!
8001,aryaWhat are you doing? We're about to leave.
8002,hotI'm staying.
8003,gendryYou're what?
8004,"hotI baked some brown bread for the innkeep and she said she never had better. Told Thoros she's keeping me as a payment for all the free meals she's given him. Anyway, it's not me the Brotherhood wants. My brother ain't no king. I'm not a Stark of ""Winterhell""."
8005,aryaWinterfell.
8006,hotYou sure?
8007,aryaI'm sure.
8008,"hotWell, I made you something."
8009,aryaWhat is it?
8010,hotIt's a wolf.
8011,"gendryYes, it is."
8012,aryaThat's the tail?
8013,hotYeah.
8014,"gendryWell, be safe."
8015,"hotYeah, you, too. Don't get stabbed."
8016,gendryYou don't burn your fingers.
8017,"aryaGood-bye, Hot Pie."
8018,"hotGood-bye, Arry."
8019,"manUp you go, little lady."
8020,"aryaHey, Hot Pie. It's really good."
8021,catelynA person could almost be forgiven for forgetting we're at war.
8022,"bryndenIt often comforts me to think that even in war's darkest days, in most places in the world absolutely nothing is happening."
8023,"catelynI've missed you, Uncle. Father missed you, too, from the day you left. Maybe he never said it in so many words-"
8024,bryndenMaybe? Your father was a stubborn old ox. I was surprised when he died. Didn't think death had the patience.
8025,catelynI'm glad you were with him. I wish to the gods I had been. Did you make peace in the end?
8026,"bryndenAfter thirty years of fighting, I don't think he remembered what started it. He asked me to stop calling myself Blackfish. He said it was an old joke and it was never funny to begin with. I told him people had been calling me Blackfish for so long, they don't remember my real name."
8027,"catelynEvery time he would leave for the capital or fight in a campaign, I'd see him off. 'Wait for me, little Cat,' he'd say. 'Wait for me and I'll come back to you.' And I would sit at this window every day when the sun came up, waiting. I wonder how many times did Bran or Rickon stare across the moors of Winterfell waiting for me to return. I will never see them again."
8028,bryndenYou mustn't think it. We don't know the truth. They could be in hiding. Robb believes they're alive. And he must go on believing. He's got to remain strong if he's to prevail. And you must remain strong for him.
8029,martynYou're Robb Stark's wife.
8030,talisaHold still.
8031,martynIs it true what they say about him?
8032,talisaI don't know. What do they say about him?
8033,martynThat he can turn into a wolf at night.
8034,talisaTrue.
8035,martynAnd he eats the flesh of his enemies.
8036,"talisaTrue. You're a Lannister, aren't you?"
8037,martynMartyn Lannister.
8038,"talisaMartyn Lannister. You've nothing to fear. My husband doesn't eat children. Unless it's a full moon. It's not a full moon tonight, is it? See? Nothing to fear."
8039,manceAlways the artists.
8040,jonIt's only horses. No men.
8041,ygritteYou said there was dead crows.
8042,orellThere was.
8043,manceHow many men were here?
8044,jonAbout three hundred.
8045,manceAnd you know what those men are now?
8046,manceWe're all the same to them - meat for their army.
8047,jonDo you think anyone got away?
8048,"manceIt's not impossible. You don't go far betting against Mormont. But dead or alive, he took a big gamble coming north. And he lost. His best fighting men are dead. And whether he's Lord Commander of the Night's Watch or a blue-eyed corpse, he's a long way from home. Tormund. Climb the Wall. Take Orell and twenty good men. And take this one. He knows Castle Black's defenses better than any of us. And if he's useful, good. If not throw him off the Wall. See if crows can fly."
8049,"tormundWe're finally going to war, old friend?"
8050,"manceHide near Castle Black. When I give the signal, hit them in the night. They've got a big old wall to hide behind, but it only guards one side."
8051,tormundWe'll meet again.
8052,manceAye. If you do your job. Ah.
8053,orellHow will we see your signal?
8054,"manceSend your eagle above the Wall every night. When it's time, I'm going to light the biggest fire the North has ever seen."
8055,samGhost?
8056,crasterWhat have we here? Frozen crows?
8057,jeorWe've come a long way.
8058,crasterSmaller flock than you went north with.
8059,jeorWe can talk inside.
8060,"crasterOh, can we?"
8061,womanThey need some water.
8062,womanTether it and I'll be inside.
8063,crasterKeep your eyes where they belong. They're not for you.
8064,karlBet you feed that pig better than you feed us.
8065,"crasterAye, pig's got value to me. You should all be kissing my feet for letting you in. I'd have turned you all away if I wasn't a godly man."
8066,jeorYou are a godly man?
8067,"crasterI am. I got no fear of what's out there. When the white cold comes, your swords and cloaks and bloody fires won't help you. The only ones left will be those who are right with the gods. The real gods."
8068,"crasterGo tell her she can bite down on a rag or she can bite down on my fist. Women. That sow right there gave birth to a litter of eight. Barely a grunt. And she's almost as fat as this one here. Now why don't you dine on him? Carve off what you need as you go. Well, look at him. He's a walking feast."
8069,womanHere we are.
8070,"womanSharpen these for me, would ya?"
8071,womanI see the head. Push.
8072,womanThat's it. You're nearly there. One more push should do it.
8073,gillyWhat is it? What is it?
8074,ramsayKeep quiet.
8075,"ramsayIf you can't ride, we don't stand a chance."
8076,theonI can ride.
8077,ramsayYou're sure?
8078,ramsayRide east. Follow the rising sun. Your sister's waiting for you.
8079,theonI'll make you a Lord of the Iron Islands for this.
8080,ramsayWe're not in the Iron Islands. Go.
8081,theonCome on. Come on. Come on. Come on. Come on.
8082,manCome on back.
8083,stannisYou refuse to tell me where you're going?
8084,melisandreI don't know yet. The fires will show me.
8085,stannisHow long will you be gone?
8086,melisandreI don't know.
8087,stannisYou're abandoning me.
8088,melisandreI will never abandon you. You are the Son of Fire. I am sworn to serve you.
8089,stannisThen serve me.
8090,"melisandreWhen I return, you will understand."
8091,stannisMy enemies think they've destroyed me. They're laughing at me the way Renly laughed at me. I want Joffrey dead. I want Robb Stark dead. Make me another son.
8092,melisandreI cannot.
8093,stannisWhy?
8094,melisandreYou don't have the strength. It would kill you.
8095,stannisI'm not so easily killed. Men have been trying for years.
8096,stannisI want you.
8097,"melisandreYour fires burn low, my king."
8098,melisandreThere is another way. A better way.
8099,stannisYou told me your magic requires a king's blood.
8100,melisandreYes.
8101,stannisI'm the one true king.
8102,"melisandreYou are. But there are others with your blood in their veins. You will sit on the Iron Throne, but first there must be sacrifices. The Lord of Light demands it."
8103,"barristanThe Walk of Punishment is a warning, Your Grace."
8104,daenerysTo whom?
8105,barristanTo any slave who contemplates doing whatever these slaves did.
8106,daenerysGive me your water.
8107,"jorahKhaleesi, this man has been sentenced to death."
8108,"daenerysHere, drink."
8109,"barristanLeave this place, Your Grace. Leave tonight, I beg you."
8110,jorahAnd what is she to do for soldiers?
8111,barristanWe can find sellswords in Pentos and Myr.
8112,"jorahIs it 'we' already, Ser Barristan? If you want to sit on the throne your ancestors built, you must win it. That will mean blood on your hands before the thing is done."
8113,"daenerysThe blood of my enemies, not the blood of innocents."
8114,"jorahHow many wars have you fought in, Ser Barristan?"
8115,barristanThree.
8116,jorahHave you ever seen a war where innocents didn't die by the thousands?
8117,"jorahI was in King's Landing after the sack, khaleesi. You know what I saw? Butchery. Babies, children, old men. More women raped than you can count. There's a beast in every man and it stirs when you put a sword in his hand. But the Unsullied are not men. They do not rape. They do not put cities to the sword unless they're ordered to do so. If you buy them, the only men they'll kill are those you want dead."
8118,"daenerysDo you disagree, Ser Barristan?"
8119,"barristanWhen your brother Rhaegar led his army into battle at the Trident, men died for him because they believed in him, because they loved him, not because they'd been bought at a slaver's auction. I fought beside the last dragon on that day, Your Grace. I bled beside him."
8120,"jorahRhaegar fought valiantly, Rhaegar fought nobly, and Rhaegar died."
8121,"daenerysDid you know him well, Ser Barristan?"
8122,"barristanI did, Your Grace. Finest man I ever met."
8123,daenerysI wish I had known him. But he was not the last dragon.
8124,"missandeiAll? Did this one's ears mishear, Your Grace?"
8125,daenerysThey did not. I want to buy them all.
8126,missandeiShe wants to buy them all.
8127,"kraznysShe can't afford them. The slut thinks that she can flash her tits, and make us give her whatever she wants."
8128,missandeiThere are eight thousand Unsullied in Astapor. Is this what you mean by all?
8129,daenerysYes. eight thousand. And the ones still in training as well.
8130,"greizhenIf they fail on the battlefield, they will shame Astapor."
8131,"missandeiMaster Greizhen says they cannot sell half-trained boys. If they fail on the battlefield, they will bring shame upon all of Astapor."
8132,daenerysI will have them all or take none. Many will fall in battle. I'll need the boys to pick up the swords they drop.
8133,kraznysThe slut cannot pay for all of this.
8134,missandeiMaster Kraznys says you cannot afford this.
8135,"kraznysHer ship will buy her a hundred Unsullied, no more."
8136,missandeiYour ship will buy you Because Master Kraznys is generous.
8137,kraznysAnd this is because I like the curve of her ass.
8138,missandeiThe gold you have left is worth ten.
8139,kraznysWhat is left will buy her ten. I will give her twenty if it stops her ignorant whimpering.
8140,missandeiBut good Master Kraznys will give you twenty.
8141,kraznysHer Dothraki smell of shit but will be useful as pig feed.
8142,missandeiThe Dothraki you have with you-
8143,kraznysI will give her three for those.
8144,"missandeiThe Dothraki you have are not worth what they cost to feed, but Master Kraznys will give you three Unsullied for all of them."
8145,"kraznysSo, ask this beggar queen how will she pay for the remaining 7,877?"
8146,"missandeiMaster Kraznys asks how you propose to pay for the remaining 7,877 unsullied."
8147,daenerysI have dragons. I'll give you one.
8148,"barristanYou will win the throne with dragons, not slaves, Your Grace."
8149,"jorahKhaleesi, please."
8150,kraznysThree dragons.
8151,daenerysOne.
8152,kraznysTwo.
8153,missandeiThey want the biggest one.
8154,daenerysDone.
8155,kraznysDone.
8156,"daenerysI'll take you as well, now. You'll be Master Kraznys' gift to me. A token of a bargain well struck."
8157,"missandeiShe asks that you give me to her, as a present. She asks that you do this now."
8158,"jorahKhaleesi, a dragon is worth more than any army."
8159,barristanAegon Targaryen proved that.
8160,"daenerysYou're both here to advise me. I value your advice, but if you ever question me in front of strangers again, you'll be advising someone else. Is that understood?"
8161,daenerysDo you have a name?
8162,"missandeiThis one's name is Missandei, Your Grace."
8163,daenerysDo you have a family? A mother and a father you'd return to if you had the choice?
8164,"missandeiNo, Your Grace. No family living."
8165,daenerysYou belong to me now. It is your duty to tell me the truth.
8166,"missandeiYes, Your Grace. Lying is a great offense. Many of those on the Walk of Punishment were taken there for less."
8167,daenerysI offered water to one of the slaves dying on the Walk of Punishment. Do you know what he said to me? 'Let me die.'
8168,"missandeiThere are no masters in the grave, Your Grace."
8169,daenerysIs it true what Master Kraznys told me about the Unsullied? About their obedience?
8170,"missandeiAll questions have been taken from them. They obey, that is all. Once they are yours, they are yours. They will fall on their swords if you command it."
8171,daenerysAnd what about you? You know that I'm taking you to war. You may go hungry. You may fall sick. You may be killed.
8172,missandeiValar morghulis.
8173,"daenerysYes, all men must die. But we are not men."
8174,tyrionA surprising place to keep the royal ledgers.
8175,petyrI'm surprised you're surprised. This is the safest place in the city.
8176,tyrionNot for bastards.
8177,"rosThat's all of them, my lord."
8178,"petyrThank you, my dear."
8179,tyrionPod. Pod. Take them outside. I'll be there in a moment.
8180,"podrickYes, my lord."
8181,petyrI hear you owe that boy a significant debt.
8182,"tyrionOnly my life. Not all that significant, I'm afraid."
8183,petyrYou should have him knighted.
8184,tyrionIf only the Master of Coin had such power.
8185,petyrIf only. I owe you a significant debt. Our redheaded friend. You secured her release when the queen detained her.
8186,"tyrionOh, that. Of course. A simple misunderstanding."
8187,"petyrApparently, Her Grace believed that you two had some sort of special relationship."
8188,tyrionWe don't. I did fuck her once.
8189,petyrI know.
8190,tyrionBut we don't.
8191,petyrI know. But how would the queen get that idea?
8192,tyrionWhy don't you ask her? Any advice for me on my new position?
8193,petyrKeep a low profile.
8194,"tyrionIf I had a gold dragon for every time I heard that joke, I'd be richer than you are."
8195,"petyrWell, you are richer than I am."
8196,tyrionGood point.
8197,"petyrThey're only numbers. Numbers on paper. Once you understand that, it's easy to make them behave. Trivial even. You want a real challenge? Try whores."
8198,"tyrionI've tried quite a few. Well, lots of work to do. Enjoy the Eyrie."
8199,"bronnCome on, I'm here later. Come on."
8200,"bronnTonight, then. Looks like dull reading."
8201,tyrionYou think all reading is dull reading.
8202,bronnIt's an opinion I share with some of the finest men I know.
8203,tyrionThe secret history of the Seven Kingdoms is written in these pages.
8204,bronnUnless Lord Twatbeard made up a bunch of numbers to hide what he's really up to.
8205,"tyrionUnless he made it all up, yes. Podrick, do keep up."
8206,tyrionPodrick.
8207,"podrickYes, my lord?"
8208,"tyrionAfter a long consultation with my colleague Ser Bronn, I finally found a suitable reward for the services you've provided over and above what might be considered reasonable. Tell me, Pod, have you ever been with a woman?"
8209,"podrickNo, my lord."
8210,tyrionWonderful. Genna specializes in first-timers.
8211,"bronnShe's not bad with second-timers, either."
8212,"podrickUh, my lord"
8213,"tyrionA fair enough repayment for putting your spear through my would-be killer's face, wouldn't you say?"
8214,"tyrionNow, as it happens, Marei is quite the spear handler herself. She's here to thank you for staying by my side as the battle raged all around me."
8215,mareiHe's handsome. You didn't tell me he was handsome.
8216,tyrionKayla is famous from here to Volantis in certain circles. One of four women in the world who can perform a proper Meereenese Knot.
8217,"podrickMy lord, I don't even"
8218,tyrionShe's here to thank you for being a thoroughly respectful fellow who's never once failed to address me as 'my lord.
8219,tyrionBe back in time for my supper.
8220,"bronnPace yourself, lad."
8221,"tyrionFor years I've heard that Littlefinger is a magician. Whenever the crown needs money, he rubs his hands together and, poof, mountains of gold."
8222,bronnLet me guess. He's not a magician.
8223,tyrionNo.
8224,bronnHe's stealing it?
8225,"tyrionWorse, he's borrowing it."
8226,bronnWhat's wrong with that?
8227,"tyrionWe can't afford to pay it back, that's what's wrong with it. The crown owes millions to my father."
8228,"bronnSeeing as it's his grandson's ass on the throne, I imagine he'll forgive that debt."
8229,"tyrionForgive a debt, my father? For a man of the world, you're strangely naive."
8230,bronnI've never borrowed money before. I'm not clear on the rules.
8231,"tyrionWell, ahem, the basic principle is I lend you money, and after an agreed upon period of time, you return it with interest."
